	Column Labels																								
	eminterp																								wabtaotpaper
	nil			rtc			rtl			compileall															nil
	nojit	1	10	nojit	1	10	nojit	1	10	nojit					1					10					nil
Row Labels	nil	nil	nil	nil	nil	nil	nil	nil	nil	0.1	0.3	0.5	0.7	1.0	0.1	0.3	0.5	0.7	1.0	0.1	0.3	0.5	0.7	1.0	
2mm																									
Average of Max_duration_ms	123	5348	591	681	5346	681	1453	5352	1455	1385	1395	2166	3279	3968	5963	6541	3842	4941	3965	1394	1394	2168	3270	3964	3923
Average of min_duration_ms	120	5268	583	15	5262	15	19	5272	19	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	121	5297	587	60	5288	60	168	5300	168	313	293	299	286	279	3790	1683	875	636	279	345	293	299	285	279	277
3mm																									
Average of Max_duration_ms	188	5563	654	717	5545	720	1453	5541	1455	1388	1656	2258	3381	4005	6180	6941	4080	5193	4003	1392	2117	2259	3382	3996	3958
Average of min_duration_ms	178	5483	641	16	5478	16	19	5488	19	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	180	5510	645	62	5505	63	173	5508	173	336	324	313	293	282	3569	1314	815	682	282	368	355	314	293	281	279
adi																									
Average of Max_duration_ms	435	6284	417	814	6283	813	1450	6273	1450	1389	1905	2968	3731	4073	6895	7677	5294	6041	4069	1393	1908	2972	3732	4078	4030
Average of min_duration_ms	403	6193	402	16	6193	16	18	6187	18	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	408	6227	405	69	6228	69	174	6227	174	469	442	364	313	287	3588	1603	831	830	286	470	443	364	313	287	284
atax																									
Average of Max_duration_ms	46	4793	46	579	4787	581	1454	4783	1450	1392	1392	1994	3098	3850	5428	5953	3182	4288	3841	1395	1391	1993	3103	3839	3803
Average of min_duration_ms	44	4707	44	15	4703	15	17	4712	17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
Average of average_duration_ms	44	4739	44	52	4732	53	158	4738	158	278	274	274	271	271	3103	1525	596	515	270	279	275	274	272	270	268
bicg																									
Average of Max_duration_ms	43	4799	43	583	4777	585	1450	4790	1457	1390	1387	2009	3121	3859	5426	5942	3197	4307	3870	1392	1395	2014	3114	3867	3830
Average of min_duration_ms	41	4714	41	15	4706	15	18	4720	18	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16
Average of average_duration_ms	41	4741	42	53	4727	53	160	4742	161	279	276	276	274	272	3101	1525	597	516	272	280	277	276	273	272	270
cholesky																									
Average of Max_duration_ms	591	5098	589	1027	5089	1023	1931	5104	1926	1390	2023	2611	3718	3914	5735	6464	3591	4676	3921	1391	2020	2623	3714	3924	3875
Average of min_duration_ms	562	5014	561	483	5007	482	495	5019	493	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
