	Column Labels																								
	eminterp																								wabtaotpaper
	nil			rtc			rtl			compileall															nil
	nojit	1	10	nojit	1	10	nojit	1	10	nojit					1					10					nil
Row Labels	nil	nil	nil	nil	nil	nil	nil	nil	nil	0.1	0.3	0.5	0.7	1.0	0.1	0.3	0.5	0.7	1.0	0.1	0.3	0.5	0.7	1.0	
2mm																									
Average of Max_duration_ms	2384	5390	2793	684	5392	683	1455	5392	1455	2561	3516	4287	5400	3954	6029	6593	3879	5010	3971	2933	3535	4299	5408	3964	3923
Average of min_duration_ms	2229	5322	2692	17	5322	17	20	5299	20	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
Average of average_duration_ms	2253	5347	2715	61	5349	61	169	5335	169	1021	578	720	429	280	3832	1699	890	648	281	1050	581	722	429	280	278
3mm																									
Average of Max_duration_ms	4014	5635	4607	721	5637	722	1459	5650	1461	4194	5367	5976	7170	4002	6275	7029	4167	5280	4012	4583	5827	5968	7070	4011	3962
Average of min_duration_ms	3862	5568	4330	18	5563	18	22	5565	22	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	19
Average of average_duration_ms	3895	5591	4379	65	5591	65	176	5594	176	1572	1312	1056	548	284	3628	1348	839	700	285	1606	1341	1055	541	285	282
adi																									
Average of Max_duration_ms	8364	6435	8281	815	6404	817	1458	6409	1453	8685	9440	10500	11313	4088	7052	7829	5430	6208	4085	8704	9449	10576	11272	4087	4032
Average of min_duration_ms	7901	6347	7918	20	6331	20	22	6334	22	21	21	21	20	21	20	20	20	20	20	21	20	20	20	20	21
Average of average_duration_ms	7985	6381	7988	73	6364	73	179	6362	179	3997	3471	1877	822	292	3673	1665	861	864	292	4001	3468	1885	820	292	289
atax																									
Average of Max_duration_ms	287	4778	289	581	4779	580	1451	4802	1454	1387	1509	2222	3333	3844	5449	5955	3195	4302	3843	1387	1511	2229	3327	3843	3802
Average of min_duration_ms	272	4716	273	15	4721	15	17	4724	17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16
Average of average_duration_ms	275	4738	276	53	4741	53	158	4748	158	339	306	316	287	271	3111	1528	599	517	271	339	305	317	287	271	268
bicg																									
Average of Max_duration_ms	262	4798	263	586	4782	585	1453	4790	1453	1392	1491	2218	3329	3875	5426	5951	3210	4325	3879	1392	1486	2221	3319	3871	3831
Average of min_duration_ms	248	4717	249	15	4714	15	18	4720	18	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
Average of average_duration_ms	251	4745	252	53	4738	53	160	4741	160	335	305	313	288	273	3104	1529	600	519	273	336	304	314	287	273	270
cholesky																									
Average of Max_duration_ms	14848	5397	14921	13059	5376	12991	13702	5379	13743	14732	15902	16368	17675	3925	6026	6765	3875	4978	3934	14678	15783	16272	17586	3919	3875
Average of min_duration_ms	14203	5302	14215	12142	5297	12154	12152	5310	12186	24	23	23	23	23	24	23	23	23	24	23	23	23	23	23	24
